CDSCode,School,Street,StreetAbr,City,Zip,State,EILCode,Virtual,Latitude,Longitude,LastUpDate,AddrZip,SmallZip,Address
37684376040562,Vallecitos Elementary,5211 Fifth Street,5211 Fifth St.,Rainbow,92028-9795,CA,ELEM,N,33.413921,-117.14871,2020-08-13,92028,92028.0,"5211 Fifth Street, Rainbow, CA, 92028"
37684520100925,T.H.E Leadership Academy,1550 Temple Heights Drive,1550 Temple Heights Dr.,Oceanside,92056-3066,CA,ELEM,N,33.218505,-117.27087,2020-08-13,92056,92056.0,"1550 Temple Heights Drive, Oceanside, CA, 92056"
37684520100933,Hannalei Elementary,120 Hannalei Drive,120 Hannalei Dr.,Vista,92083-7625,CA,ELEM,N,33.178337,-117.21575,2020-08-13,92083,92083.0,"120 Hannalei Drive, Vista, CA, 92083"
37684520105882,Foothill Oak Elementary,1370 Oak Drive,1370 Oak Dr.,Vista,92084-4001,CA,ELEM,N,33.218194,-117.22187,2020-08-13,92084,92084.0,"1370 Oak Drive, Vista, CA, 92084"
37684520106120,SIATech,"2611 Temple Heights Drive, Suite A","2611 Temple Heights Dr., Ste. A",Oceanside,92056-3582,CA,HS,C,33.216092,-117.26989,2020-08-31,92056,92056.0,"2611 Temple Heights Drive, Suite A, Oceanside, CA, 92056"
37684520111237,Maryland Elementary,700 North Avenue,700 North Ave.,Vista,92084-2906,CA,ELEM,N,33.215538,-117.25793,2020-08-13,92084,92084.0,"700 North Avenue, Vista, CA, 92084"
37684520114264,North County Trade Tech High,"1132 N Melrose Drive, Suite 501","1132 N Melrose Drive, Ste. 501",Vista,92083-3467,CA,HS,N,33.212842,-117.25511,2020-08-13,92083,92083.0,"1132 N Melrose Drive, Suite 501, Vista, CA, 92083"
37684520114637,"Vista Magnet Middle School of Technology, Science, and Math",151 Civic Center Drive,151 Civic Center Dr.,Vista,92084-6035,CA,INTMIDJR,N,33.20314,-117.23667,2020-08-13,92084,92084.0,"151 Civic Center Drive, Vista, CA, 92084"
37684520115451,Major General Raymond Murray High,215 North Melrose Drive,215 North Melrose Dr.,Vista,92083-5720,CA,HS,N,33.198351,-117.25582,2020-08-13,92083,92083.0,"215 North Melrose Drive, Vista, CA, 92083"
37684520118430,Mission Vista High,1306 Melrose Drive,1306 Melrose Dr.,Oceanside,92057-4649,CA,HS,N,33.25599,-117.26381,2020-08-13,92057,92057.0,"1306 Melrose Drive, Oceanside, CA, 92057"
37684520124917,Guajome Learning Center,2000 North Santa Fe Avenue,2000 North Santa Fe Ave.,Vista,92083-1534,CA,ELEMHIGH,C,33.230575,-117.25014,2020-08-13,92083,92083.0,"2000 North Santa Fe Avenue, Vista, CA, 92083"
