Port Name,Measure,January,February,March,April,May,June,July
Naco,Personal Vehicle Passengers,"43,941","39,413","32,402","17,204","23,714","24,098","22,406"
Naco,Personal Vehicles,"24,905","22,566","19,598","12,089","15,995","16,016","15,163"
Naco,Trucks,256,254,282,272,255,294,317
Nogales,Bus Passengers,"18,434","14,183","7,674","2,354","3,409","3,901","3,960"
Nogales,Buses,818,810,516,213,260,282,274
Nogales,Pedestrians,"285,482","249,148","154,980","53,798","71,399","66,647","66,277"
Nogales,Personal Vehicle Passengers,"608,469","540,410","393,474","130,924","171,993","200,440","213,360"
Nogales,Personal Vehicles,"299,906","286,440","219,514","91,333","112,519","127,215","134,286"
Nogales,Trucks,"34,948","32,944","35,862","30,284","36,142","33,433","20,133"
Otay Mesa,Bus Passengers,435,430,239,98,"1,518","1,995",
Otay Mesa,Buses,397,348,207,66,945,"1,638",
Otay Mesa,Pedestrians,"282,958","267,170","199,460","90,759","107,166","147,204","177,420"
Otay Mesa,Personal Vehicle Passengers,"802,567","737,124","563,767","334,106","439,362","525,707","629,976"
Otay Mesa,Personal Vehicles,"499,813","465,008","376,659","254,552","308,387","363,081","433,028"
Otay Mesa,Trucks,"73,703","69,812","74,628","56,636","63,142","81,997","87,167"
Presidio,Bus Passengers,197,152,114,41,73,80,144
Presidio,Buses,128,101,67,22,37,38,58
Presidio,Pedestrians,"24,807","17,076","15,731","5,260","7,037","8,126","6,766"
Presidio,Personal Vehicle Passengers,"120,912","97,435","91,443","38,834","65,952","67,566","83,995"
Presidio,Personal Vehicles,"56,535","50,171","46,457","23,376","35,925","36,172","43,833"
Presidio,Trucks,967,798,913,474,462,609,722
Progreso,Pedestrians,"121,421","130,881","88,819","17,496","44,124","37,141","31,827"
Progreso,Personal Vehicle Passengers,"218,195","214,642","179,080","72,927","126,758","113,848","81,664"
Progreso,Personal Vehicles,"101,514","100,329","88,868","48,903","80,577","72,240","48,837"
Progreso,Trucks,"5,074","4,559","5,298","3,580","3,824","3,898","4,509"
Rio Grande City,Pedestrians,"8,384","8,199","5,169","1,044","1,109","1,023","1,045"
Rio Grande City,Personal Vehicle Passengers,"68,123","66,246","56,659","23,683","40,834","34,172","31,764"
Rio Grande City,Personal Vehicles,"33,126","32,768","28,921","14,890","23,964","21,259","20,131"
Rio Grande City,Trucks,"3,545","3,268","3,774","2,929","3,044","3,559","3,539"
Roma,Bus Passengers,748,506,220,20,15,47,
Roma,Buses,42,35,19,2,1,3,
Roma,Pedestrians,"24,655","23,173","18,347","5,564","8,596","8,660","8,600"
Roma,Personal Vehicle Passengers,"118,076","106,966","87,930","34,895","59,733","57,509","50,235"
Roma,Personal Vehicles,"63,397","59,453","49,931","23,164","36,576","36,978","32,510"
Roma,Trucks,"1,499","1,562","1,850","1,347","1,576","1,891","2,059"
San Luis,Bus Passengers,6,5,,4,9,2,2
San Luis,Buses,6,5,,4,9,2,2
San Luis,Pedestrians,"263,073","275,360","200,929","97,561","122,257","122,305","95,503"
San Luis,Personal Vehicle Passengers,"423,350","414,870","342,136","140,608","182,742","206,205","254,187"
San Luis,Personal Vehicles,"256,959","253,349","216,061","102,490","124,078","137,779","168,968"
San Luis,Trucks,"4,310","4,643","4,665","2,952","2,622","2,816","2,878"
San Ysidro,Bus Passengers,"8,608","8,225","4,699","1,896","3,065",,
San Ysidro,Buses,"3,840","3,844","3,140","1,428","1,729",,
San Ysidro,Pedestrians,"831,154","775,305","541,519","196,739","295,421","341,410","338,323"
San Ysidro,Personal Vehicle Passengers,"2,298,003","2,144,131","1,621,349","835,167","1,019,554","1,300,390","1,355,015"
San Ysidro,Personal Vehicles,"1,391,251","1,311,967","1,050,632","618,579","716,006","878,800","906,757"
Santa Teresa,Bus Passengers,124,0,52,,20,,
Santa Teresa,Buses,31,10,5,,1,,
Santa Teresa,Pedestrians,"23,104",0,"6,286",,"1,518","2,260",183
Santa Teresa,Personal Vehicle Passengers,"108,489","83,580","65,974","19,841","36,333","50,174","57,743"
Santa Teresa,Personal Vehicles,"46,478","40,983","33,718","13,138","22,126","29,018","32,607"
Santa Teresa,Trucks,"11,864","10,605","11,568","8,542","8,241","11,819","13,395"
Sasabe,Pedestrians,59,45,38,36,29,29,34
Sasabe,Personal Vehicle Passengers,"4,744","3,484","3,246","1,027","3,276","3,245","2,719"
Sasabe,Personal Vehicles,"2,442","1,872","1,768",659,"1,792","1,873","1,698"
Tecate,Pedestrians,"73,750","69,798","33,898","23,190","41,893","45,332","45,388"
Tecate,Personal Vehicle Passengers,"152,551","141,426","110,322","46,245","49,186","49,793","57,078"
Tecate,Personal Vehicles,"82,300","77,377","63,334","31,670","31,730","31,180","35,569"
Tecate,Trucks,"5,366","5,085","5,624","3,843","4,186","5,596","6,468"
Tornillo,Pedestrians,"3,098","3,304","2,077",537,499,624,554
Tornillo,Personal Vehicle Passengers,"63,627","60,097","50,339","22,536","38,308","45,866","47,205"
Tornillo,Personal Vehicles,"34,183","32,824","29,055","15,255","23,711","27,197","27,787"
Ysleta,Personal Vehicle Passengers,,,"413,216","137,820","212,568","252,160","260,127"
Ysleta,Personal Vehicles,,,"248,433","104,032","149,358","170,431","175,029"
Ysleta,Trucks,,,"53,842","32,299","29,914","47,765","54,839"
