,EILName,Latitude,Longitude,Address,Zipcode,"School, District",DistrictName,CumulativeEnrollment,Median family income (dollars),Mean family income (dollars),"Health insurance coverage, % of civilian pop",No health insurance for civilian pop,No health insurance coverage %,Worked at home,Population 16+,Children of the household 6-17,"Households with income $0-34,999","Households with income $35,000-99,999","Households with income $100,000+",Percent Increase,Absolute Increase Standardized,predictions
0,High School,33.09058,-116.95009,"17701 San Pasqual Valley Road,Escondido,CA,92025",92025,"San Pasqual Academy, San Diego County Office of Education",San Diego County Office of Education,94.0,59509.0,85640.0,79.6,10756.0,20.4,1310.0,40463.0,8965.0,4812.0,6688.0,3681.0,48.9,0.004942787237723352,1
1,Intermediate/Middle/Junior High,33.083711,-117.05634,"3003 Bear Valley Parkway,Escondido,CA,92025",92025,"Bear Valley Middle, Escondido Union",Escondido Union,1064.0,59509.0,85640.0,79.6,10756.0,20.4,1310.0,40463.0,8965.0,4812.0,6688.0,3681.0,48.9,0.004942787237723352,1
2,Elementary,33.118835,-117.07991,"122 West Fourth Avenue,Escondido,CA,92025",92025,"Central Elementary, Escondido Union",Escondido Union,649.0,59509.0,85640.0,79.6,10756.0,20.4,1310.0,40463.0,8965.0,4812.0,6688.0,3681.0,48.9,0.004942787237723352,1
3,Intermediate/Middle/Junior High,33.11037,-117.10117,"1400 West Ninth Avenue,Escondido,CA,92025",92025,"Del Dios Academy of Arts and Sciences, Escondido Union",Escondido Union,833.0,59509.0,85640.0,79.6,10756.0,20.4,1310.0,40463.0,8965.0,4812.0,6688.0,3681.0,48.9,0.004942787237723352,1
4,Elementary,33.106493,-117.08245,"737 West 13th Avenue,Escondido,CA,92025",92025,"Felicita Elementary, Escondido Union",Escondido Union,574.0,59509.0,85640.0,79.6,10756.0,20.4,1310.0,40463.0,8965.0,4812.0,6688.0,3681.0,48.9,0.004942787237723352,1
5,Elementary,33.105286,-117.06731,"1809 South Juniper Street,Escondido,CA,92025",92025,"Juniper Elementary, Escondido Union",Escondido Union,682.0,59509.0,85640.0,79.6,10756.0,20.4,1310.0,40463.0,8965.0,4812.0,6688.0,3681.0,48.9,0.004942787237723352,1
6,Elementary,33.09646,-117.07896,"1975 Miller Avenue,Escondido,CA,92025",92025,"Miller Elementary, Escondido Union",Escondido Union,460.0,59509.0,85640.0,79.6,10756.0,20.4,1310.0,40463.0,8965.0,4812.0,6688.0,3681.0,48.9,0.004942787237723352,1
7,Elementary,33.086003,-117.05973,"3115 Las Palmas Avenue,Escondido,CA,92025",92025,"L. R. Green Elementary, Escondido Union",Escondido Union,857.0,59509.0,85640.0,79.6,10756.0,20.4,1310.0,40463.0,8965.0,4812.0,6688.0,3681.0,48.9,0.004942787237723352,1
8,High School,33.077688,-117.05724,"3300 Bear Valley Parkway,Escondido,CA,92025",92025,"San Pasqual High, Escondido Union High",Escondido Union High,2294.0,59509.0,85640.0,79.6,10756.0,20.4,1310.0,40463.0,8965.0,4812.0,6688.0,3681.0,48.9,0.004942787237723352,1
9,Elementary,32.635041,-117.08832,"540 G Street,Chula Vista,CA,91910",91910,"Davila Day, San Diego County Office of Education",San Diego County Office of Education,34.0,69198.0,84506.0,89.3,8046.0,10.7,1303.0,61455.0,10820.0,7681.0,11170.0,6524.0,31.97,0.00636237897648686,1
10,Elementary,32.615057,-117.05726,"25 Emerson Street,Chula Vista,CA,91910",91910,"Castle Park Elementary, Chula Vista Elementary",Chula Vista Elementary,435.0,69198.0,84506.0,89.3,8046.0,10.7,1303.0,61455.0,10820.0,7681.0,11170.0,6524.0,31.97,0.00636237897648686,1
11,Elementary,32.634394,-117.04331,"475 East J Street,Chula Vista,CA,91910",91910,"Halecrest Elementary, Chula Vista Elementary",Chula Vista Elementary,507.0,69198.0,84506.0,89.3,8046.0,10.7,1303.0,61455.0,10820.0,7681.0,11170.0,6524.0,31.97,0.00636237897648686,1
12,Elementary,32.632209,-117.06414,"30 Murray Street,Chula Vista,CA,91910",91910,"Hilltop Drive Elementary, Chula Vista Elementary",Chula Vista Elementary,564.0,69198.0,84506.0,89.3,8046.0,10.7,1303.0,61455.0,10820.0,7681.0,11170.0,6524.0,31.97,0.00636237897648686,1
13,Elementary,32.635041,-117.08832,"540 G Street,Chula Vista,CA,91910",91910,"Vista Square Elementary, Chula Vista Elementary",Chula Vista Elementary,777.0,69198.0,84506.0,89.3,8046.0,10.7,1303.0,61455.0,10820.0,7681.0,11170.0,6524.0,31.97,0.00636237897648686,1
14,Elementary,32.636251,-117.00246,"980 Buena Vista Way,Chula Vista,CA,91910",91910,"Chula Vista Hills Elementary, Chula Vista Elementary",Chula Vista Elementary,575.0,69198.0,84506.0,89.3,8046.0,10.7,1303.0,61455.0,10820.0,7681.0,11170.0,6524.0,31.97,0.00636237897648686,1
15,Elementary,32.644805,-117.04506,"455 Windrose Way,Chula Vista,CA,91910",91910,"Clear View, Chula Vista Elementary",Chula Vista Elementary,541.0,69198.0,84506.0,89.3,8046.0,10.7,1303.0,61455.0,10820.0,7681.0,11170.0,6524.0,31.97,0.00636237897648686,1
16,Elementary,32.630446,-117.00915,"1130 East J Street,Chula Vista,CA,91910",91910,"Casillas (Joseph) Elementary, Chula Vista Elementary",Chula Vista Elementary,489.0,69198.0,84506.0,89.3,8046.0,10.7,1303.0,61455.0,10820.0,7681.0,11170.0,6524.0,31.97,0.00636237897648686,1
17,High School,32.636851,-117.0599,"555 Claire Avenue,Chula Vista,CA,91910",91910,"Hilltop Senior High, Sweetwater Union High",Sweetwater Union High,2224.0,69198.0,84506.0,89.3,8046.0,10.7,1303.0,61455.0,10820.0,7681.0,11170.0,6524.0,31.97,0.00636237897648686,1
