X,Y,objectid,date,tests,positives,hospitalized,icu,deaths,newcases,age_9,age10_19,age40_49,age50_59,age60_69,age70_79,age80_plus,ageunknow,age20_29,genderfemale,gendermale,gendeunk,age30_39,globalid,newtests,rolling_perc_pos_cases
-12994883.727,3899795.7453,184,2020/07/10 08:00:00+00,428159,19371,2025,532,422,508,559,1290,2771,2792,1766,939,839,18,4725,9856,9389,126,3672,{D14A8AFC-3AEB-4F9C-B060-986F02A4E592},8292,6.043397
-12994883.727,3899795.7453,185,2020/07/11 08:00:00+00,436664,19929,2036,535,422,558,576,1335,2856,2860,1811,963,845,18,4890,10137,9659,133,3775,{A1D224A4-A4EA-4595-9928-176D35FA480E},8505,6.0883292
-12994883.727,3899795.7453,186,2020/07/12 08:00:00+00,443206,20348,2052,538,422,419,608,1380,2918,2913,1832,978,852,18,5002,10358,9853,137,3847,{85D549BD-03C4-4C9D-8499-0F4135C34531},6542,6.0358
-12994883.727,3899795.7453,187,2020/07/13 08:00:00+00,450452,20887,2073,541,436,539,630,1424,2997,2964,1867,993,862,19,5179,10638,10107,142,3952,{8EFBB937-8CF5-486A-B334-13BF897E41F4},7246,6.2493
-12994883.727,3899795.7453,188,2020/07/14 08:00:00+00,458888,21446,2093,546,448,559,642,1481,3080,3041,1902,1008,878,20,5325,10933,10387,126,4069,{F5EAEA26-0E5B-453D-9056-25C9FB0ADCA9},8436,6.29248093
-12994883.727,3899795.7453,189,2020/07/15 08:00:00+00,469332,21855,2127,558,465,409,661,1525,3144,3096,1924,1014,886,20,5429,11131,10589,135,4156,{78A539CE-8718-4CA0-AA65-CE152C98E318},10434,6.0241946
-12994883.727,3899795.7453,190,2020/07/16 08:00:00+00,478546,22489,2154,562,472,634,682,1581,3241,3192,1969,1028,895,20,5617,11462,10892,135,4264,{DDA874B6-C719-4556-A88B-9CFCA58F17FC},9224,6.05048453
-12994883.727,3899795.7453,191,2020/07/17 08:00:00+00,488836,23114,2180,567,478,625,695,1645,3320,3296,2010,1046,907,21,5780,11791,11192,131,4394,{2DF80561-5DCA-4A21-8F1E-8C23F6639452},10290,6.0308397
-12994883.727,3899795.7453,192,2020/07/18 08:00:00+00,497779,23682,2203,571,478,568,714,1699,3405,3375,2051,1062,916,24,5925,12079,11502,101,4511,{182FFFD5-FC62-427B-8D46-5839CDEE5DB7},8943,5.9919544
-12994883.727,3899795.7453,193,2020/07/19 08:00:00+00,505663,24135,2215,575,478,453,721,1735,3479,3442,2089,1075,917,25,6047,12324,11724,87,4605,{7E8BABE1-56E5-4D5E-A62B-E69F6106BB04},7884,6.1346792
-12994883.727,3899795.7453,194,2020/07/20 08:00:00+00,514693,24520,2237,578,487,385,730,1773,3537,3496,2110,1086,923,25,6160,12508,11923,89,4680,{7AF37BA4-A3BC-43C7-9937-51FF101F57EA},9030,5.7943676
-12994883.727,3899795.7453,195,2020/07/21 08:00:00+00,522973,25107,2279,592,505,587,754,1827,3621,3580,2150,1104,933,24,6328,12817,12204,86,4786,{513A2056-CE1C-4510-8598-2BDFAE85A528},8280,6.0300965
-12994883.727,3899795.7453,196,2020/07/22 08:00:00+00,531277,25608,2309,599,512,501,770,1879,3702,3644,2210,1118,947,26,6444,13082,12441,85,4868,{7624F56E-6428-445D-AE6F-B7A24FD81AB2},8304,6.0133686
-12994883.727,3899795.7453,197,2020/07/23 08:00:00+00,538251,26098,2330,602,524,490,786,1932,3777,3708,2237,1132,960,25,6564,13321,12692,85,4977,{E268B07A-D13C-4B6D-BCDF-431557FF310C},6974,6.1115
-12994883.727,3899795.7453,198,2020/07/24 08:00:00+00,554680,26701,2364,606,533,603,806,1994,3865,3799,2276,1151,987,24,6727,13624,12981,96,5072,{049FAA89-8C1F-491A-B98A-81125A004CE4},16429,5.7935046
-12994883.727,3899795.7453,199,2020/07/25 08:00:00+00,562185,26984,2391,614,533,283,821,2017,3908,3833,2303,1159,996,28,6793,13774,13105,105,5126,{31A565B9-E98D-419F-B6AE-E3CF6A530C44},7505,5.6205734
-12994883.727,3899795.7453,200,2020/07/26 08:00:00+00,568641,27507,2405,618,533,523,841,2057,3979,3892,2361,1188,1016,29,6931,14034,13343,130,5213,{455C88A3-33C6-4CF3-9FC7-00E65F0A4759},6456,5.7073385
-12994883.727,3899795.7453,202,2020/07/27 08:00:00+00,575264,28005,2430,626,547,498,859,2098,4039,3951,2402,1198,1024,29,7097,14277,13596,132,5308,{95B9C3D3-8999-403F-B282-B1F677AA480B},6623,5.70298
-12994883.727,3899795.7453,203,2020/07/28 08:00:00+00,582163,28287,2459,632,552,282,872,2122,4078,4002,2418,1205,1032,29,7179,14419,13740,128,5350,{3209D8E5-7E05-4C83-B970-4076EC8E21CA},6899,5.5493815
-12994883.727,3899795.7453,204,2020/07/29 08:00:00+00,590401,28668,2486,638,558,381,886,2166,4130,4055,2449,1210,1038,28,7287,14620,13922,126,5419,{1B57F1FA-DC68-4D3F-8DEC-C3E24852D4EC},8238,5.626905
-12994883.727,3899795.7453,205,2020/07/30 08:00:00+00,599467,29048,2521,642,561,380,894,2205,4198,4099,2477,1223,1041,28,7396,14833,14099,116,5487,{3BC32395-ED0F-4B0A-AC55-A78F73788230},9066,5.4242026
-12994883.727,3899795.7453,206,2020/07/31 08:00:00+00,608628,29577,2551,650,565,529,911,2255,4277,4167,2514,1238,1050,27,7543,15137,14324,116,5595,{2D5F90C5-EE79-4670-A255-4463FDD3FDF1},9161,5.395185
-12994883.727,3899795.7453,207,2020/08/01 08:00:00+00,614283,29883,2577,652,565,256,927,2284,4335,4199,2538,1250,1053,27,7618,15316,14459,108,5652,{33D5F0EB-21A9-4CE2-A07F-7FD01F4C1BA2},5655,5.322564
-12994883.727,3899795.7453,208,2020/08/02 08:00:00+00,620819,30226,2599,656,565,343,942,2317,4383,4247,2563,1270,1062,28,7692,15488,14614,124,5722,{A29FDB35-AECA-44E5-BDAA-49CABBA38F29},6536,5.2893466
-12994883.727,3899795.7453,209,2020/08/03 08:00:00+00,624987,30516,2627,662,568,290,946,2359,4416,4288,2588,1277,1067,28,7770,15641,14769,106,5777,{688A40EC-E5F6-454D-984B-0502DEE75CD1},4168,5.4363791
-12994883.727,3899795.7453,210,2020/08/04 08:00:00+00,631968,30864,2655,666,578,348,958,2406,4468,4326,2619,1285,1078,30,7858,15802,14958,104,5836,{D6DC6F4F-A197-4CC8-9A94-8866C75BFD61},6981,5.2818937
-12994883.727,3899795.7453,211,2020/08/05 08:00:00+00,643074,31127,2681,674,583,263,963,2436,4509,4360,2649,1292,1085,30,7922,15936,15094,97,5881,{FD517C24-3304-4CB8-8038-CC071CF3C6D7},11106,4.9366262
-12994883.727,3899795.7453,212,2020/08/06 08:00:00+00,654575,31779,2712,681,586,652,990,2499,4604,4445,2692,1301,1091,30,8105,16298,15377,104,6022,{7202291E-76DD-4E56-9E58-59CA4726AF51},11501,4.8837729
-12994883.727,3899795.7453,213,2020/08/07 08:00:00+00,664047,32330,2730,682,593,551,1007,2563,4690,4511,2737,1321,1106,32,8243,16590,15624,116,6120,{1906CCFD-7239-4DA3-B8F1-C926F0C95ACC},9472,5.1468907
-12994883.727,3899795.7453,214,2020/08/08 08:00:00+00,670283,32747,2745,687,594,417,1023,2603,4746,4585,2765,1337,1120,32,8337,16796,15829,122,6199,{6BB4D3FA-B18D-4209-AA1E-498D7F67D5D0},6236,5.3312735
-12994883.727,3899795.7453,215,2020/08/09 08:00:00+00,677853,32975,2752,689,594,228,1026,2623,4788,4615,2784,1353,1128,30,8387,16921,15936,118,6241,{2DA44749-4B06-4846-BAA0-2939D6AB07ED},7570,5.0067758
-12994883.727,3899795.7453,216,2020/08/10 08:00:00+00,683522,33157,2771,694,602,182,1029,2643,4808,4638,2798,1360,1134,30,8435,17016,16027,114,6282,{32800185-6311-4AE5-9B6F-D3FA51F2F454},5669,4.7590016
-12994883.727,3899795.7453,217,2020/08/11 08:00:00+00,690861,33393,2792,696,608,236,1051,2674,4829,4670,2819,1362,1139,32,8496,17135,16151,107,6321,{672092D3-EC55-4D52-9253-58451AE23952},7339,4.6974185
-12994883.727,3899795.7453,218,2020/08/12 08:00:00+00,698881,33659,2809,699,615,266,1060,2699,4875,4709,2835,1374,1141,32,8571,17274,16281,104,6363,{852DDC26-5738-4EE6-BC7E-3CE7D7BFEDDF},8020,4.60084808
-12994883.727,3899795.7453,219,2020/08/13 08:00:00+00,708389,34065,2823,703,622,406,1080,2741,4933,4765,2871,1384,1148,31,8672,17492,16471,102,6440,{5A974A2C-2DE4-4595-B4E5-18F32AEC9986},9508,4.60084808
-12994883.727,3899795.7453,220,2020/08/14 08:00:00+00,719657,34344,2835,710,626,279,1088,2759,4985,4814,2898,1391,1154,33,8730,17627,16614,103,6492,{D999DE1C-A450-4D07-9B36-C3F635E55605},11268,4.2934729
-12994883.727,3899795.7453,221,2020/08/15 08:00:00+00,726704,34678,2856,715,626,334,1107,2786,5026,4862,2923,1402,1162,32,8828,17811,16758,109,6550,{0A9EC3A3-B5C8-4011-99FC-0616D426F5FB},7047,4.2652
-12994883.727,3899795.7453,223,2020/08/16 08:00:00+00,733081,34960,2868,716,626,282,1121,2809,5070,4897,2948,1411,1166,34,8902,17956,16891,113,6602,{8901916B-2CB1-403D-BAB3-38F73197B8EF},6377,4.2169
-12994883.727,3899795.7453,224,2020/08/17 08:00:00+00,738665,35162,2890,719,633,202,1128,2827,5101,4935,2962,1412,1172,34,8948,18056,16996,110,6643,{02C60DC1-D971-4CDC-A4C2-BCDF9B222733},5584,4.0869825
-12994883.727,3899795.7453,225,2020/08/18 08:00:00+00,745446,35376,2916,723,638,214,1142,2850,5130,4964,2979,1422,1181,33,8994,18156,17112,108,6681,{52886B98-7B28-4C38-82A9-A71DED566915},6781,3.9761011
-12994883.727,3899795.7453,226,2020/08/19 08:00:00+00,755311,35608,2930,726,644,232,1147,2876,5174,5001,2993,1431,1189,33,9051,18276,17225,107,6713,{156FBE12-15B2-423A-B983-644FDA7A3D93},9865,3.9924446
-12994883.727,3899795.7453,227,2020/08/20 08:00:00+00,761878,35912,2946,726,652,304,1163,2891,5222,5050,3023,1440,1197,31,9118,18429,17378,105,6777,{172CCCB2-8D1D-43C0-A6D3-9C2619A77911},6567,3.8517096
-12994883.727,3899795.7453,228,2020/08/21 08:00:00+00,770702,36203,2961,728,660,291,1171,2909,5270,5086,3055,1447,1207,31,9199,18581,17515,107,6828,{83A5CA76-5BC6-49B3-AC30-FACD41BB6482},8824,3.6313347
-12994883.727,3899795.7453,229,2020/08/22 08:00:00+00,777485,36540,2978,729,660,337,1186,2939,5309,5138,3082,1462,1221,31,9294,18760,17673,107,6878,{E7DEF210-29DB-46F2-AA36-B25C6A023674},6783,3.5381803
-12994883.727,3899795.7453,230,2020/08/23 08:00:00+00,784836,36727,2989,733,660,187,1195,2963,5331,5153,3097,1468,1222,34,9350,18854,17766,107,6914,{3A5201E1-82B5-430B-9FA3-6F8BED5A91FC},7351,3.5070993
-12994883.727,3899795.7453,231,2020/08/24 08:00:00+00,790370,36994,3006,736,665,267,1203,2983,5376,5184,3130,1482,1224,33,9405,19001,17890,103,6974,{283F2381-C33B-4146-A4AF-4E99E64FD30C},5534,3.5910827
-12994883.727,3899795.7453,232,2020/08/25 08:00:00+00,798697,37222,3022,738,668,228,1212,3004,5408,5216,3146,1498,1234,33,9459,19134,17986,102,7012,{0795754C-97DD-4A51-948A-72720EA240E7},8327,3.5507623
-12994883.727,3899795.7453,233,2020/08/26 08:00:00+00,803932,37499,3040,738,673,277,1226,3035,5450,5248,3165,1505,1243,29,9535,19283,18114,102,7063,{5831313C-6B9D-4944-8280-D3017728C871},5235,3.65536739
-12994883.727,3899795.7453,234,2020/08/27 08:00:00+00,812753,37784,3065,746,676,285,1243,3068,5484,5290,3185,1517,1254,31,9602,19408,18271,105,7110,{7C881CA4-E4AD-474B-A763-3ABBD01C7279},8821,3.5634893
-12994883.727,3899795.7453,235,2020/08/28 08:00:00+00,819549,38047,3083,749,679,263,1261,3091,5518,5320,3211,1526,1265,31,9666,19542,18405,100,7158,{75FFF710-F400-4217-9FE7-EF75AE14B116},6796,3.7070036
-12994883.727,3899795.7453,236,2020/08/29 08:00:00+00,824909,38300,3099,750,682,253,1272,3114,5557,5360,3232,1536,1270,31,9717,19656,18542,102,7211,{BA2184E6-52C0-4681-BB6A-7997ABCD0D6F},5360,3.6882032
-12994883.727,3899795.7453,237,2020/08/30 08:00:00+00,830640,38604,3111,750,682,304,1283,3147,5608,5406,3254,1544,1276,31,9795,19814,18686,104,7260,{564BD929-0A56-4413-8AD5-411ECD66E531},5731,3.7351756
-12994883.727,3899795.7453,238,2020/08/31 08:00:00+00,837626,38871,3125,755,688,267,1287,3180,5653,5434,3276,1556,1290,34,9855,19950,18819,102,7306,{1D5823EF-6466-47DE-9F11-71B81D64025C},6986,3.7479411
-12994883.727,3899795.7453,239,2020/09/01 08:00:00+00,845232,39121,3142,760,695,250,1294,3237,5690,5471,3289,1563,1296,33,9909,20095,18922,104,7339,{0D8A7154-B80A-48C5-83E4-C0A18A13251E},7606,3.7530315
-12994883.727,3899795.7453,240,2020/09/02 08:00:00+00,854263,39446,3169,767,700,325,1305,3309,5731,5509,3309,1573,1311,31,9988,20261,19086,99,7380,{FD255622-BCEE-4CEA-88C9-ECE39CBDF6F6},9031,3.87648233
-12994883.727,3899795.7453,241,2020/09/03 08:00:00+00,861817,39899,3194,768,701,453,1320,3412,5788,5555,3334,1589,1317,32,10117,20479,19312,108,7435,{7965F319-6459-4DA4-8CDD-3DA92BB4EAAB},7554,3.98943355
-12994883.727,3899795.7453,242,2020/09/04 08:00:00+00,869262,40342,3199,768,704,443,1331,3511,5847,5611,3359,1605,1321,32,10224,20684,19549,109,7501,{6BA03562-0646-421F-B29E-AB7C7E34C8DA},7445,4.1994724
-12994883.727,3899795.7453,243,2020/09/05 08:00:00+00,873533,40650,3214,772,707,308,1339,3594,5873,5641,3372,1611,1324,32,10321,20858,19680,112,7543,{9963F15E-664C-495A-BDB7-7E57FB5B6DA4},4271,4.27910444
-12994883.727,3899795.7453,244,2020/09/07 08:00:00+00,885048,41077,3232,779,709,211,1346,3685,5940,5697,3399,1624,1340,34,10418,21069,19898,110,7594,{583E646A-810D-4ACE-84B6-465EBFC086A5},4727,4.3347123
-12994883.727,3899795.7453,245,2020/09/06 08:00:00+00,880321,40866,3225,777,708,216,1346,3629,5919,5672,3388,1616,1330,33,10364,20965,19788,113,7569,{EB1D16C5-D8A2-483F-AAE1-4B7518731E5C},6788,4.3125119
-12994883.727,3899795.7453,246,2020/09/08 08:00:00+00,880321,41324,3237,773,721,247,1351,3728,5972,5722,3419,1632,1343,34,10493,21179,20035,110,7630,{407E67B6-999D-4CF4-9254-EAC378C41528},6788,4.5123038
-12994883.727,3899795.7453,247,2020/09/09 08:00:00+00,897915,41608,3253,775,725,284,1362,3830,5995,5754,3434,1643,1351,38,10542,21325,20173,110,7659,{4C5A4AAD-D2E0-4ACF-B538-F3917A43155D},8311,4.3720672
-12994883.727,3899795.7453,248,2020/09/10 08:00:00+00,907123,41969,3266,775,730,361,1378,3894,6042,5795,3456,1656,1355,35,10637,21489,20368,112,7721,{87BFD444-16C0-4465-975D-46027BDCBB3A},9208,4.43467203
-12994883.727,3899795.7453,249,2020/09/11 08:00:00+00,915654,42414,3278,777,734,445,1394,3959,6107,5843,3482,1671,1363,33,10758,21687,20616,111,7804,{D6CC361E-530F-4501-9322-DCEA65FCB745},8531,4.5439883
