,date,age_9,age10_19,age20_29,age30_39,age40_49,age50_59,age60_69,age70_79,age80_plus,ageunknow,genderfemale,gendermale,newtests,newcases,test_positivity_rate
97,2020/06/12 08:00:00+00,196,425,1766,1763,1443,1585,989,582,560,5,4741,4563,5783,184,0.032
98,2020/06/13 08:00:00+00,206,436,1792,1779,1460,1603,1004,592,562,6,4809,4619,6751,126,0.019
99,2020/06/14 08:00:00+00,215,445,1840,1805,1476,1633,1022,600,568,6,4888,4710,5207,170,0.033
100,2020/06/15 08:00:00+00,219,450,1874,1826,1494,1650,1038,603,570,6,4958,4760,4838,120,0.025
101,2020/06/16 08:00:00+00,223,458,1896,1841,1522,1669,1052,609,578,6,5019,4825,6782,124,0.018
102,2020/06/17 08:00:00+00,230,480,1958,1877,1548,1712,1075,621,583,8,5144,4936,10070,238,0.024
103,2020/06/18 08:00:00+00,234,507,2020,1925,1584,1756,1094,635,586,9,5279,5060,10544,258,0.024
104,2020/06/19 08:00:00+00,238,521,2073,1946,1603,1764,1102,638,590,9,5338,5134,5594,134,0.024
105,2020/06/20 08:00:00+00,254,558,2152,2000,1633,1810,1129,645,604,9,5485,5293,4413,310,0.07
106,2020/06/21 08:00:00+00,264,583,2239,2052,1672,1840,1148,658,630,10,5648,5430,5831,302,0.052
107,2020/06/22 08:00:00+00,267,611,2302,2089,1697,1863,1163,663,629,10,5755,5526,6819,198,0.029
108,2020/06/23 08:00:00+00,277,633,2379,2160,1745,1892,1203,683,643,11,5917,5694,6981,332,0.048
109,2020/06/24 08:00:00+00,289,659,2491,2225,1796,1925,1218,695,653,10,6103,5841,9472,335,0.035
110,2020/06/25 08:00:00+00,301,690,2625,2313,1852,1983,1252,712,662,11,6315,6065,6824,440,0.064
111,2020/06/26 08:00:00+00,317,731,2759,2391,1914,2027,1283,731,672,12,6538,6279,9172,436,0.048
112,2020/06/27 08:00:00+00,337,768,2886,2483,1974,2079,1330,761,702,14,6808,6507,8301,497,0.06
113,2020/06/28 08:00:00+00,348,814,3033,2604,2038,2139,1359,773,708,16,7062,6740,6908,498,0.072
114,2020/06/29 08:00:00+00,359,839,3129,2656,2084,2180,1388,778,717,19,7215,6902,7382,317,0.043
115,2020/06/30 08:00:00+00,366,880,3282,2754,2156,2239,1408,793,726,19,7447,7142,7825,474,0.061
116,2020/07/01 08:00:00+00,385,917,3495,2869,2229,2310,1444,812,732,14,7754,7401,8510,584,0.069
117,2020/07/02 08:00:00+00,397,946,3647,2961,2297,2363,1490,827,752,16,7993,7622,7307,489,0.067
118,2020/07/03 08:00:00+00,420,986,3812,3052,2352,2408,1517,842,758,17,8219,7824,7321,468,0.064
119,2020/07/04 08:00:00+00,447,1035,3995,3157,2420,2460,1565,854,776,17,8514,8088,8095,562,0.069
120,2020/07/05 08:00:00+00,452,1070,4080,3213,2461,2489,1583,857,778,17,8652,8223,7667,274,0.036
121,2020/07/06 08:00:00+00,471,1124,4231,3334,2534,2572,1629,875,792,16,8940,8510,5530,578,0.105
122,2020/07/07 08:00:00+00,481,1148,4305,3384,2567,2604,1656,883,798,16,9084,8632,7607,264,0.035
123,2020/07/08 08:00:00+00,510,1191,4454,3506,2635,2674,1698,904,812,18,9367,8910,8950,560,0.063
124,2020/07/09 08:00:00+00,530,1243,4595,3582,2702,2731,1720,917,825,18,9606,9130,8423,461,0.055
125,2020/07/10 08:00:00+00,559,1290,4725,3672,2771,2792,1766,939,839,18,9856,9389,8292,508,0.061
126,2020/07/11 08:00:00+00,576,1335,4890,3775,2856,2860,1811,963,845,18,10137,9659,8505,558,0.066
127,2020/07/12 08:00:00+00,608,1380,5002,3847,2918,2913,1832,978,852,18,10358,9853,6542,419,0.064
128,2020/07/13 08:00:00+00,630,1424,5179,3952,2997,2964,1867,993,862,19,10638,10107,7246,539,0.074
129,2020/07/14 08:00:00+00,642,1481,5325,4069,3080,3041,1902,1008,878,20,10933,10387,8436,559,0.066
130,2020/07/15 08:00:00+00,661,1525,5429,4156,3144,3096,1924,1014,886,20,11131,10589,10434,409,0.039
131,2020/07/16 08:00:00+00,682,1581,5617,4264,3241,3192,1969,1028,895,20,11462,10892,9224,634,0.069
132,2020/07/17 08:00:00+00,695,1645,5780,4394,3320,3296,2010,1046,907,21,11791,11192,10290,625,0.061
133,2020/07/18 08:00:00+00,714,1699,5925,4511,3405,3375,2051,1062,916,24,12079,11502,8943,568,0.064
134,2020/07/19 08:00:00+00,721,1735,6047,4605,3479,3442,2089,1075,917,25,12324,11724,7884,453,0.057
135,2020/07/20 08:00:00+00,730,1773,6160,4680,3537,3496,2110,1086,923,25,12508,11923,9030,385,0.043
136,2020/07/21 08:00:00+00,754,1827,6328,4786,3621,3580,2150,1104,933,24,12817,12204,8280,587,0.071
137,2020/07/22 08:00:00+00,770,1879,6444,4868,3702,3644,2210,1118,947,26,13082,12441,8304,501,0.06
138,2020/07/23 08:00:00+00,786,1932,6564,4977,3777,3708,2237,1132,960,25,13321,12692,6974,490,0.07
139,2020/07/24 08:00:00+00,806,1994,6727,5072,3865,3799,2276,1151,987,24,13624,12981,16429,603,0.037
140,2020/07/25 08:00:00+00,821,2017,6793,5126,3908,3833,2303,1159,996,28,13774,13105,7505,283,0.038
141,2020/07/26 08:00:00+00,841,2057,6931,5213,3979,3892,2361,1188,1016,29,14034,13343,6456,523,0.081
142,2020/07/27 08:00:00+00,859,2098,7097,5308,4039,3951,2402,1198,1024,29,14277,13596,6623,498,0.075
143,2020/07/28 08:00:00+00,872,2122,7179,5350,4078,4002,2418,1205,1032,29,14419,13740,6899,282,0.041
144,2020/07/29 08:00:00+00,886,2166,7287,5419,4130,4055,2449,1210,1038,28,14620,13922,8238,381,0.046
145,2020/07/30 08:00:00+00,894,2205,7396,5487,4198,4099,2477,1223,1041,28,14833,14099,9066,380,0.042
146,2020/07/31 08:00:00+00,911,2255,7543,5595,4277,4167,2514,1238,1050,27,15137,14324,9161,529,0.058
147,2020/08/01 08:00:00+00,927,2284,7618,5652,4335,4199,2538,1250,1053,27,15316,14459,5655,256,0.045
148,2020/08/02 08:00:00+00,942,2317,7692,5722,4383,4247,2563,1270,1062,28,15488,14614,6536,343,0.052
149,2020/08/03 08:00:00+00,946,2359,7770,5777,4416,4288,2588,1277,1067,28,15641,14769,4168,290,0.07
150,2020/08/04 08:00:00+00,958,2406,7858,5836,4468,4326,2619,1285,1078,30,15802,14958,6981,348,0.05
151,2020/08/05 08:00:00+00,963,2436,7922,5881,4509,4360,2649,1292,1085,30,15936,15094,11106,263,0.024
152,2020/08/06 08:00:00+00,990,2499,8105,6022,4604,4445,2692,1301,1091,30,16298,15377,11501,652,0.057
153,2020/08/07 08:00:00+00,1007,2563,8243,6120,4690,4511,2737,1321,1106,32,16590,15624,9472,551,0.058
154,2020/08/08 08:00:00+00,1023,2603,8337,6199,4746,4585,2765,1337,1120,32,16796,15829,6236,417,0.067
155,2020/08/09 08:00:00+00,1026,2623,8387,6241,4788,4615,2784,1353,1128,30,16921,15936,7570,228,0.03
156,2020/08/10 08:00:00+00,1029,2643,8435,6282,4808,4638,2798,1360,1134,30,17016,16027,5669,182,0.032
157,2020/08/11 08:00:00+00,1051,2674,8496,6321,4829,4670,2819,1362,1139,32,17135,16151,7339,236,0.032
158,2020/08/12 08:00:00+00,1060,2699,8571,6363,4875,4709,2835,1374,1141,32,17274,16281,8020,266,0.033
159,2020/08/13 08:00:00+00,1080,2741,8672,6440,4933,4765,2871,1384,1148,31,17492,16471,9508,406,0.043
160,2020/08/14 08:00:00+00,1088,2759,8730,6492,4985,4814,2898,1391,1154,33,17627,16614,11268,279,0.025
161,2020/08/15 08:00:00+00,1107,2786,8828,6550,5026,4862,2923,1402,1162,32,17811,16758,7047,334,0.047
162,2020/08/16 08:00:00+00,1121,2809,8902,6602,5070,4897,2948,1411,1166,34,17956,16891,6377,282,0.044
163,2020/08/17 08:00:00+00,1128,2827,8948,6643,5101,4935,2962,1412,1172,34,18056,16996,5584,202,0.036
164,2020/08/18 08:00:00+00,1142,2850,8994,6681,5130,4964,2979,1422,1181,33,18156,17112,6781,214,0.032
165,2020/08/19 08:00:00+00,1147,2876,9051,6713,5174,5001,2993,1431,1189,33,18276,17225,9865,232,0.024
166,2020/08/20 08:00:00+00,1163,2891,9118,6777,5222,5050,3023,1440,1197,31,18429,17378,6567,304,0.046
167,2020/08/21 08:00:00+00,1171,2909,9199,6828,5270,5086,3055,1447,1207,31,18581,17515,8824,291,0.033
168,2020/08/22 08:00:00+00,1186,2939,9294,6878,5309,5138,3082,1462,1221,31,18760,17673,6783,337,0.05
169,2020/08/23 08:00:00+00,1195,2963,9350,6914,5331,5153,3097,1468,1222,34,18854,17766,7351,187,0.025
170,2020/08/24 08:00:00+00,1203,2983,9405,6974,5376,5184,3130,1482,1224,33,19001,17890,5534,267,0.048
171,2020/08/25 08:00:00+00,1212,3004,9459,7012,5408,5216,3146,1498,1234,33,19134,17986,8327,228,0.027
172,2020/08/26 08:00:00+00,1226,3035,9535,7063,5450,5248,3165,1505,1243,29,19283,18114,5235,277,0.053
173,2020/08/27 08:00:00+00,1243,3068,9602,7110,5484,5290,3185,1517,1254,31,19408,18271,8821,285,0.032
174,2020/08/28 08:00:00+00,1261,3091,9666,7158,5518,5320,3211,1526,1265,31,19542,18405,6796,263,0.039
175,2020/08/29 08:00:00+00,1272,3114,9717,7211,5557,5360,3232,1536,1270,31,19656,18542,5360,253,0.047
176,2020/08/30 08:00:00+00,1283,3147,9795,7260,5608,5406,3254,1544,1276,31,19814,18686,5731,304,0.053
177,2020/08/31 08:00:00+00,1287,3180,9855,7306,5653,5434,3276,1556,1290,34,19950,18819,6986,267,0.038
178,2020/09/01 08:00:00+00,1294,3237,9909,7339,5690,5471,3289,1563,1296,33,20095,18922,7606,250,0.033
179,2020/09/02 08:00:00+00,1305,3309,9988,7380,5731,5509,3309,1573,1311,31,20261,19086,9031,325,0.036
180,2020/09/03 08:00:00+00,1320,3412,10117,7435,5788,5555,3334,1589,1317,32,20479,19312,7554,453,0.06
181,2020/09/04 08:00:00+00,1331,3511,10224,7501,5847,5611,3359,1605,1321,32,20684,19549,7445,443,0.06
182,2020/09/05 08:00:00+00,1339,3594,10321,7543,5873,5641,3372,1611,1324,32,20858,19680,4271,308,0.072
183,2020/09/07 08:00:00+00,1346,3685,10418,7594,5940,5697,3399,1624,1340,34,21069,19898,4727,211,0.045
184,2020/09/06 08:00:00+00,1346,3629,10364,7569,5919,5672,3388,1616,1330,33,20965,19788,6788,216,0.032
185,2020/09/08 08:00:00+00,1351,3728,10493,7630,5972,5722,3419,1632,1343,34,21179,20035,6788,247,0.036
186,2020/09/09 08:00:00+00,1362,3830,10542,7659,5995,5754,3434,1643,1351,38,21325,20173,8311,284,0.034
187,2020/09/10 08:00:00+00,1378,3894,10637,7721,6042,5795,3456,1656,1355,35,21489,20368,9208,361,0.039
188,2020/09/11 08:00:00+00,1394,3959,10758,7804,6107,5843,3482,1671,1363,33,21687,20616,8531,445,0.052
