Community,ZIP,geometry#hiddenmore,#name,#img,Population 16+yo#number,Population 16+yo in labor force#number,Population 16+yo in civilian labor force#number,Population 16+yo in civilian lf - employed#number,Population 16+yo in civilian lf - unemployed#number,Population 16+yo - in Armed Forces#number,Population 16+yo not in labor force#number,Females 16+yo#number,Children of the hh under 6 yo#number,Children of the hh 6-17 yo#number,COMMUTING TO WORK among 16+yo#number,"Driving alone to work in Car, truck, or van#number","Carpooling to work in Car, truck, or van#number",Public transport to work#number,Walked to work#number,Other types of commuting to work#number,Worked at home#number,Mean travel to work (minutes)#number,"Management, business, science, and arts occupations#number",Service occupations#number,Sales and office occupations#number,"Natural resources, construction, and maintenance occupations#number","Production, transportation, and material moving occupations#number","Employed in Agriculture, forestry, fishing and hunting, and mining#number",Employed in Construction#number,Employed in Manufacturing#number,Employed in Wholesale trade#number,Employed in Retail trade#number,Employed in Transp warehousing utilities#number,Employed in Information industry#number,Employed in Finance insurance real estate#number,"Employed in Prof, science, mngmnt, admin#number","Employed in Education, health care, social assistance#number","Employed in Arts, entertainment, recreation, accommodation, food#number",Employed in Other services#number,Employed in Public administration#number,Total households#number,"Hholds with income Less than $10,000#number","Hholds with income $10,000 to $14,999#number","Hholds with income $15,000 to $24,999#number","Hholds with income $25,000 to $34,999#number","Hholds with income $35,000 to $49,999#number","Hholds with income $50,000 to $74,999#number","Hholds with income $75,000 to $99,999#number","Hholds with income $100,000 to $149,999#number","Hholds with income $150,000 to $199,999#number","Hholds with income $200,000 or more#number",Median household income (dollars)#number,Mean household income (dollars)#number,Hholds with earnings (dollars)#number,Mean earnings (dollars)#number,Hholds with Social Security dollars#number,Mean Social Security income (dollars)#number,Hholds with Retirement income#number,Mean retirement income (dollars)#number,Hholds with SSI#number,Mean Supplemental Security Income (dollars)#number,Hholds with cash public assistance#number,Mean cash public assistance income (dollars)#number,Hholds With Food Stamp/SNAP benefits in past 12m#number,Families for income estimate#number,Median family income (dollars)#number,Mean family income (dollars)#number,Per capita income (dollars)#number,Civilian noninstitutionalized population for insurance#number,"Health insurance coverage, % of civilian pop#number",No health insurance for civil pop#number,"No health insurance coverage, %#number",Percent familiaies BELOW POVERTY LEVEL #number,Percent; EMPLOYMENT STATUS - Population 16 years and over#number,"Pop 16+yo in labor force, %#number","Pop 16+yo in civilian labor force, %#number","Pop 16+yo employed in civilian labor force, %#number","Pop 16+yo unemployed in civilian labor force, %#number","In Armed Forces, %#number","Not in labor force, %#number","Unemployment Rate, civilian labor force#number","Drove alone to work, %#number","carpooled to work, %#number","Public transportation to work, %#number","Walked to work, %#number","Other means getting to work, %#number","Worked at home, %#number","Management, business, science, and arts occupations, %#number","Service occupations, %#number","Sales and office occupations, %#number","Natural resources, construction, and maintenance occupations, %#number","Production, transportation, and material moving occupations, %#number","Employed in Agriculture, forestry, fishing and hunting, and mining, %#number","Employed in Construction, %#number","Employed in Manufacturing, %#number","Employed in Wholesale trade, %#number","Employed in  Retail trade, %#number","Employed in Transportation and warehousing, and utilities, %#number","Employed in Information, %#number","Employed in Finance and insurance, and real estate and rental and leasing, %#number","Employed in Professional, scientific, and management, and administrative and waste management services, %#number","Employed in Educational services, and health care and social assistance, %#number","Employed in Arts, entertainment, and recreation, and accommodation and food services, %#number","Employed in Other services, except public administration, %#number","Employed in Public administration, %#number","Hholds with Less than $10,000, %#number","Hholds with  $10,000 to $14,999, %#number","Hholds with  $15,000 to $24,999, %#number","Hholds with  $25,000 to $34,999, %#number","Hholds with $35,000 to $49,999, %#number","Hholds with $50,000 to $74,999, %#number","Hholds with $75,000 to $99,999, %#number","Hholds with $100,000 to $149,999, %#number","Hholds with $150,000 to $199,999, %#number","Hholds with $200,000 or more, %#number","Hholds with earnings, %#number","Hholds with Social Security, %#number","Hholds with retirement income, %#number","Hholds with Supplemental Security Income, %#number","Hholds with cash public assistance income, %#number","Hholds with Food Stamp/SNAP benefits in the past 12 months, %#number"
Aguanga,92536,"MULTIPOLYGON (((-116.6853 33.4272,-116.6592 33.4271,-116.6509 33.4272,-116.6339 33.4271,-116.6177 33.4274,-116.6177 33.4068,-116.6180 33.3669,-116.6178 33.3633,-116.6113 33.3632,-116.6154 33.3584,-116.6178 33.3560,-116.6206 33.3547,-116.6289 33.3524,-116.6336 33.3527,-116.6375 33.3539,-116.6439 33.3564,-116.6586 33.3691,-116.6656 33.3742,-116.6753 33.3781,-116.6836 33.3787,-116.6836 33.3759,-116.6963 33.3758,-116.7033 33.3692,-116.7055 33.3674,-116.7084 33.3663,-116.7156 33.3655,-116.7421 33.3649,-116.7474 33.3682,-116.7475 33.3690,-116.7483 33.3682,-116.7530 33.3676,-116.7564 33.3668,-116.7583 33.3650,-116.7710 33.3651,-116.7801 33.3642,-116.7802 33.3714,-116.7890 33.3705,-116.7886 33.3776,-116.7974 33.3776,-116.7971 33.3847,-116.8058 33.3845,-116.8054 33.3917,-116.8138 33.3913,-116.8134 33.3984,-116.8218 33.3979,-116.8306 33.3979,-116.8307 33.4050,-116.8472 33.4050,-116.8470 33.4097,-116.8577 33.4097,-116.8578 33.4268,-116.8218 33.4268,-116.7705 33.4270,-116.7546 33.4271,-116.7197 33.4275,-116.7029 33.4275,-116.6853 33.4272)))",92536-Aguanga,aguanga,2389,1319,1319,1140,179,0,1070,1189,199,448,1118,906,62,0,107,0,43,39.5,420,202,210,188,120,9,340,21,15,31,99,15,14,197,166,128,51,54,1061,107,17,81,148,140,142,143,190,61,32,55433,69043,681,68307,400,20036,340,29227,43,10921,70,2624,38,732,76818,79336,25483,3013,90.3,292,9.7,10,2389,55.2,55.2,47.7,7.5,0,44.8,13.6,81,5.5,0,9.6,0,3.8,36.8,17.7,18.4,16.5,10.5,0.8,29.8,1.8,1.3,2.7,8.7,1.3,1.2,17.3,14.6,11.2,4.5,4.7,10.1,1.6,7.6,13.9,13.2,13.4,13.5,17.9,5.7,3,64.2,37.7,32,4.1,6.6,3.6
Alpine,91901,"MULTIPOLYGON (((-116.7408 32.9585,-116.7388 32.9497,-116.7388 32.9490,-116.7402 32.9489,-116.7402 32.9482,-116.7396 32.9476,-116.7394 32.9451,-116.7390 32.9434,-116.7383 32.9416,-116.7373 32.9399,-116.7360 32.9383,-116.7345 32.9369,-116.7327 32.9357,-116.7305 32.9346,-116.7282 32.9337,-116.7260 32.9333,-116.7234 32.9331,-116.7213 32.9332,-116.7090 32.9331,-116.7075 32.9320,-116.7032 32.9293,-116.6991 32.9263,-116.6954 32.9230,-116.6927 32.9202,-116.6908 32.9179,-116.6903 32.9177,-116.6827 32.8883,-116.6804 32.8710,-116.6760 32.8680,-116.6684 32.8632,-116.6647 32.8545,-116.6643 32.8531,-116.6583 32.8471,-116.6555 32.8452,-116.6510 32.8440,-116.6436 32.8430,-116.6278 32.8422,-116.6259 32.8409,-116.6211 32.8370,-116.6192 32.8371,-116.6192 32.8365,-116.6184 32.8365,-116.6142 32.8341,-116.6103 32.8314,-116.6071 32.8287,-116.6043 32.8255,-116.6033 32.8248,-116.5963 32.8175,-116.5927 32.8113,-116.5897 32.8050,-116.5883 32.8006,-116.5885 32.7962,-116.5876 32.7838,-116.5885 32.7759,-116.5886 32.7687,-116.5865 32.7676,-116.5771 32.7545,-116.5738 32.7504,-116.5707 32.7454,-116.5721 32.7381,-116.5730 32.7318,-116.5729 32.7307,-116.5733 32.7298,-116.5877 32.7164,-116.5914 32.7134,-116.6011 32.7055,-116.6052 32.7021,-116.6124 32.6953,-116.6240 32.6840,-116.6241 32.6685,-116.6394 32.6688,-116.6565 32.6689,-116.6657 32.6687,-116.6693 32.6686,-116.6693 32.6779,-116.6697 32.6783,-116.6704 32.6791,-116.6711 32.6795,-116.6714 32.6797,-116.6780 32.6826,-116.6908 32.6875,-116.6909 32.6897,-116.6933 32.6944,-116.7029 32.7112,-116.7050 32.7122,-116.7059 32.7131,-116.7313 32.7230,-116.7309 32.7297,-116.7195 32.7296,-116.7202 32.7447,-116.7266 32.7448,-116.7282 32.7593,-116.7304 32.7629,-116.7337 32.7666,-116.7508 32.7754,-116.7631 32.7852,-116.7636 32.7853,-116.7650 32.7867,-116.7678 32.7867,-116.7705 32.7866,-116.7725 32.7867,-116.7738 32.7863,-116.7754 32.7856,-116.7756 32.7853,-116.7773 32.7855,-116.7819 32.7868,-116.7832 32.7867,-116.7892 32.7853,-116.7914 32.7851,-116.7925 32.7846,-116.7934 32.7838,-116.7937 32.7822,-116.7966 32.7829,-116.8008 32.7845,-116.8051 32.7845,-116.8074 32.7843,-116.8145 32.7872,-116.8092 32.7944,-116.7951 32.8072,-116.8059 32.8126,-116.8086 32.8128,-116.8090 32.8140,-116.8086 32.8153,-116.8108 32.8153,-116.8108 32.8190,-116.8213 32.8259,-116.8222 32.8274,-116.8226 32.8273,-116.8241 32.8288,-116.8236 32.8518,-116.8179 32.8565,-116.8173 32.8566,-116.8161 32.8565,-116.8140 32.8558,-116.8129 32.8553,-116.8123 32.8549,-116.8114 32.8540,-116.8086 32.8500,-116.8080 32.8492,-116.8063 32.8479,-116.8059 32.8481,-116.8044 32.8508,-116.8047 32.8514,-116.8048 32.8521,-116.8047 32.8525,-116.8046 32.8533,-116.8039 32.8539,-116.8038 32.8542,-116.8039 32.8549,-116.8037 32.8550,-116.8031 32.8550,-116.8028 32.8552,-116.8027 32.8562,-116.8023 32.8570,-116.8018 32.8575,-116.8011 32.8580,-116.8008 32.8586,-116.8000 32.8590,-116.7998 32.8592,-116.7991 32.8606,-116.7990 32.8612,-116.7991 32.8623,-116.7984 32.8633,-116.7979 32.8657,-116.7968 32.8671,-116.7959 32.8678,-116.7953 32.8680,-116.7950 32.8683,-116.7951 32.8688,-116.7956 32.8695,-116.7956 32.8700,-116.7947 32.8712,-116.7930 32.8746,-116.7931 32.8779,-116.7922 32.8838,-116.7912 32.8859,-116.7896 32.8875,-116.7882 32.8886,-116.7867 32.8895,-116.7855 32.8901,-116.7803 32.8918,-116.7796 32.8919,-116.7794 32.8921,-116.7794 32.8925,-116.7795 32.8932,-116.7797 32.8935,-116.7798 32.8947,-116.7797 32.8953,-116.7785 32.8983,-116.7788 32.9004,-116.7800 32.9037,-116.7807 32.9066,-116.7809 32.9084,-116.7810 32.9115,-116.7809 32.9128,-116.7791 32.9159,-116.7789 32.9172,-116.7794 32.9188,-116.7798 32.9208,-116.7798 32.9225,-116.7795 32.9240,-116.7770 32.9296,-116.7749 32.9327,-116.7738 32.9348,-116.7723 32.9383,-116.7714 32.9400,-116.7704 32.9414,-116.7684 32.9460,-116.7676 32.9474,-116.7667 32.9486,-116.7657 32.9495,-116.7621 32.9520,-116.7611 32.9535,-116.7603 32.9562,-116.7601 32.9567,-116.7587 32.9567,-116.7588 32.9576,-116.7585 32.9579,-116.7577 32.9581,-116.7572 32.9576,-116.7570 32.9576,-116.7569 32.9577,-116.7571 32.9584,-116.7561 32.9586,-116.7558 32.9590,-116.7551 32.9593,-116.7544 32.9592,-116.7542 32.9596,-116.7511 32.9612,-116.7492 32.9619,-116.7492 32.9624,-116.7408 32.9585)))",91901-Alpine,alpine,14865,9224,9183,8805,378,41,5641,7342,1319,2459,8572,6477,1072,115,80,40,788,32.1,3648,1473,2083,956,645,76,1020,675,178,1028,543,121,622,1156,1486,761,441,698,6420,225,157,364,495,818,778,668,1500,851,564,90397,105429,4976,100847,2026,20365,1547,38701,411,10786,83,1457,317,4697,103026,116390,38236,17966,93,1265,7,6.1,14865,62.1,61.8,59.2,2.5,0.3,37.9,4.1,75.6,12.5,1.3,0.9,0.5,9.2,41.4,16.7,23.7,10.9,7.3,0.9,11.6,7.7,2,11.7,6.2,1.4,7.1,13.1,16.9,8.6,5,7.9,3.5,2.4,5.7,7.7,12.7,12.1,10.4,23.4,13.3,8.8,77.5,31.6,24.1,6.4,1.3,4.9
Bonita,91902,"MULTIPOLYGON (((-116.9712 32.7083,-116.9690 32.7084,-116.9685 32.7080,-116.9683 32.7074,-116.9675 32.7070,-116.9673 32.7065,-116.9672 32.7064,-116.9670 32.7066,-116.9667 32.7065,-116.9667 32.7062,-116.9670 32.7060,-116.9667 32.7056,-116.9651 32.7046,-116.9627 32.7035,-116.9628 32.6994,-116.9686 32.6995,-116.9685 32.7021,-116.9758 32.7021,-116.9777 32.6998,-116.9782 32.6928,-116.9795 32.6890,-116.9804 32.6890,-116.9801 32.6851,-116.9800 32.6815,-116.9886 32.6814,-116.9886 32.6742,-116.9972 32.6742,-116.9979 32.6741,-116.9956 32.6681,-116.9945 32.6651,-116.9931 32.6616,-116.9985 32.6601,-116.9974 32.6591,-116.9921 32.6568,-116.9916 32.6565,-116.9910 32.6560,-116.9906 32.6554,-116.9888 32.6508,-116.9888 32.6505,-116.9889 32.6505,-116.9886 32.6494,-116.9902 32.6489,-116.9912 32.6488,-116.9918 32.6490,-116.9923 32.6488,-116.9924 32.6485,-116.9956 32.6476,-116.9962 32.6491,-116.9970 32.6491,-116.9991 32.6485,-117.0001 32.6512,-117.0032 32.6499,-117.0042 32.6497,-117.0052 32.6526,-117.0085 32.6525,-117.0065 32.6505,-117.0072 32.6509,-117.0079 32.6511,-117.0100 32.6513,-117.0150 32.6521,-117.0158 32.6524,-117.0186 32.6541,-117.0192 32.6544,-117.0459 32.6469,-117.0481 32.6531,-117.0501 32.6515,-117.0520 32.6504,-117.0544 32.6486,-117.0560 32.6479,-117.0565 32.6478,-117.0576 32.6477,-117.0578 32.6482,-117.0581 32.6485,-117.0583 32.6483,-117.0586 32.6485,-117.0630 32.6498,-117.0635 32.6501,-117.0640 32.6521,-117.0639 32.6526,-117.0636 32.6531,-117.0640 32.6533,-117.0639 32.6544,-117.0636 32.6554,-117.0636 32.6561,-117.0637 32.6570,-117.0634 32.6572,-117.0633 32.6571,-117.0619 32.6575,-117.0620 32.6578,-117.0617 32.6578,-117.0615 32.6574,-117.0611 32.6575,-117.0611 32.6573,-117.0604 32.6569,-117.0598 32.6570,-117.0596 32.6565,-117.0569 32.6572,-117.0568 32.6569,-117.0564 32.6570,-117.0567 32.6578,-117.0557 32.6580,-117.0562 32.6593,-117.0563 32.6592,-117.0564 32.6595,-117.0552 32.6596,-117.0565 32.6631,-117.0569 32.6635,-117.0570 32.6637,-117.0569 32.6637,-117.0569 32.6640,-117.0571 32.6646,-117.0558 32.6649,-117.0553 32.6649,-117.0531 32.6656,-117.0532 32.6657,-117.0531 32.6659,-117.0529 32.6659,-117.0528 32.6657,-117.0505 32.6669,-117.0501 32.6670,-117.0484 32.6681,-117.0473 32.6687,-117.0466 32.6688,-117.0462 32.6692,-117.0438 32.6705,-117.0416 32.6711,-117.0417 32.6715,-117.0414 32.6717,-117.0394 32.6733,-117.0370 32.6764,-117.0363 32.6768,-117.0337 32.6791,-117.0328 32.6796,-117.0324 32.6800,-117.0325 32.6804,-117.0310 32.6810,-117.0302 32.6816,-117.0303 32.6817,-117.0293 32.6823,-117.0287 32.6832,-117.0283 32.6832,-117.0275 32.6838,-117.0263 32.6846,-117.0260 32.6855,-117.0259 32.6857,-117.0247 32.6859,-117.0243 32.6863,-117.0234 32.6867,-117.0232 32.6872,-117.0220 32.6880,-117.0216 32.6887,-117.0214 32.6880,-117.0171 32.6912,-117.0162 32.6920,-117.0151 32.6938,-117.0065 32.6961,-117.0048 32.6916,-117.0008 32.6918,-116.9985 32.6926,-116.9966 32.6931,-116.9932 32.6934,-116.9886 32.6943,-116.9878 32.6946,-116.9869 32.6951,-116.9850 32.6971,-116.9837 32.6992,-116.9835 32.6999,-116.9828 32.7012,-116.9824 32.7021,-116.9809 32.7035,-116.9803 32.7042,-116.9792 32.7049,-116.9787 32.7058,-116.9780 32.7063,-116.9766 32.7067,-116.9752 32.7073,-116.9739 32.7080,-116.9726 32.7085,-116.9712 32.7083)))",91902-Bonita,bonita,16184,10061,9919,9162,757,142,6123,8193,1031,2710,9089,7667,529,104,0,266,523,28.9,3940,1589,2261,567,805,57,532,656,193,876,473,312,598,947,2362,859,553,744,6078,346,91,211,187,571,962,883,1306,762,759,92759,112124,4695,103332,2290,21079,1999,40231,275,7715,107,6175,155,4695,104025,121292,36272,19607,88.6,2235,11.4,3.3,16184,62.2,61.3,56.6,4.7,0.9,37.8,7.6,84.4,5.8,1.1,0,2.9,5.8,43,17.3,24.7,6.2,8.8,0.6,5.8,7.2,2.1,9.6,5.2,3.4,6.5,10.3,25.8,9.4,6,8.1,5.7,1.5,3.5,3.1,9.4,15.8,14.5,21.5,12.5,12.5,77.2,37.7,32.9,4.5,1.8,2.6
Bonsall,92003,"MULTIPOLYGON (((-117.1551 33.3177,-117.1532 33.3148,-117.1521 33.3127,-117.1512 33.3104,-117.1507 33.3081,-117.1505 33.3061,-117.1498 33.2935,-117.1495 33.2894,-117.1495 33.2877,-117.1500 33.2846,-117.1509 33.2821,-117.1567 33.2718,-117.1577 33.2696,-117.1582 33.2680,-117.1586 33.2659,-117.1588 33.2642,-117.1588 33.2626,-117.1619 33.2619,-117.1628 33.2619,-117.1630 33.2619,-117.1633 33.2620,-117.1638 33.2620,-117.1642 33.2619,-117.1646 33.2617,-117.1648 33.2621,-117.1647 33.2626,-117.1650 33.2627,-117.1651 33.2627,-117.1660 33.2629,-117.1664 33.2629,-117.1660 33.2637,-117.1747 33.2638,-117.1810 33.2674,-117.1875 33.2673,-117.1875 33.2637,-117.1961 33.2637,-117.1994 33.2604,-117.1994 33.2600,-117.2048 33.2600,-117.2047 33.2627,-117.2059 33.2627,-117.2059 33.2637,-117.2133 33.2637,-117.2133 33.2674,-117.2262 33.2674,-117.2306 33.2672,-117.2330 33.2672,-117.2330 33.2663,-117.2331 33.2657,-117.2341 33.2635,-117.2263 33.2637,-117.2263 33.2622,-117.2274 33.2606,-117.2272 33.2601,-117.2264 33.2596,-117.2264 33.2587,-117.2279 33.2587,-117.2306 33.2585,-117.2306 33.2599,-117.2355 33.2599,-117.2362 33.2597,-117.2365 33.2589,-117.2374 33.2579,-117.2373 33.2578,-117.2396 33.2559,-117.2437 33.2535,-117.2449 33.2531,-117.2449 33.2547,-117.2428 33.2553,-117.2428 33.2597,-117.2449 33.2597,-117.2449 33.2589,-117.2492 33.2588,-117.2492 33.2634,-117.2450 33.2633,-117.2451 33.2635,-117.2450 33.2637,-117.2449 33.2670,-117.2536 33.2670,-117.2538 33.2708,-117.2537 33.2771,-117.2535 33.2781,-117.2536 33.2815,-117.2528 33.2812,-117.2525 33.2817,-117.2525 33.2822,-117.2515 33.2822,-117.2515 33.2817,-117.2493 33.2817,-117.2493 33.2853,-117.2578 33.2854,-117.2577 33.2885,-117.2566 33.2880,-117.2557 33.2879,-117.2557 33.2878,-117.2542 33.2877,-117.2532 33.2879,-117.2525 33.2879,-117.2519 33.2885,-117.2504 33.2926,-117.2460 33.2926,-117.2442 33.2923,-117.2437 33.2925,-117.2428 33.2933,-117.2430 33.2935,-117.2428 33.2938,-117.2430 33.2945,-117.2427 33.2949,-117.2425 33.2956,-117.2427 33.2967,-117.2422 33.2986,-117.2420 33.2997,-117.2420 33.2999,-117.2259 33.3003,-117.2256 33.3001,-117.2251 33.2984,-117.2246 33.2974,-117.2230 33.2952,-117.2219 33.2942,-117.2212 33.2947,-117.2203 33.2956,-117.2199 33.2964,-117.2199 33.2966,-117.2192 33.2985,-117.2177 33.3003,-117.2175 33.3002,-117.2174 33.3003,-117.2165 33.3020,-117.2161 33.3024,-117.2139 33.3034,-117.2103 33.3065,-117.2085 33.3072,-117.2061 33.3087,-117.2050 33.3095,-117.2022 33.3106,-117.1986 33.3126,-117.1980 33.3131,-117.1969 33.3144,-117.1964 33.3148,-117.1958 33.3150,-117.1945 33.3152,-117.1939 33.3152,-117.1919 33.3146,-117.1910 33.3144,-117.1903 33.3143,-117.1880 33.3143,-117.1872 33.3144,-117.1856 33.3149,-117.1834 33.3152,-117.1816 33.3157,-117.1812 33.3157,-117.1801 33.3154,-117.1795 33.3154,-117.1773 33.3158,-117.1762 33.3162,-117.1745 33.3178,-117.1737 33.3188,-117.1732 33.3200,-117.1719 33.3211,-117.1712 33.3218,-117.1699 33.3224,-117.1691 33.3226,-117.1687 33.3226,-117.1680 33.3222,-117.1675 33.3223,-117.1658 33.3179,-117.1658 33.3143,-117.1548 33.3142,-117.1551 33.3177)))",92003-Bonsall,bonsall,4243,2409,2396,2256,140,13,1834,2037,359,601,2190,1573,101,86,13,81,336,30.5,973,383,577,173,150,111,144,140,78,302,102,87,149,342,336,229,185,51,1805,34,47,170,92,132,546,172,249,211,152,70817,103104,1375,89517,705,20066,364,31862,52,10858,51,5724,85,1265,76827,112047,36914,5148,94.3,293,5.7,4.1,4243,56.8,56.5,53.2,3.3,0.3,43.2,5.8,71.8,4.6,3.9,0.6,3.7,15.3,43.1,17,25.6,7.7,6.6,4.9,6.4,6.2,3.5,13.4,4.5,3.9,6.6,15.2,14.9,10.2,8.2,2.3,1.9,2.6,9.4,5.1,7.3,30.2,9.5,13.8,11.7,8.4,76.2,39.1,20.2,2.9,2.8,4.7
Borrego Springs,92004,"MULTIPOLYGON (((-116.1299 33.4261,-116.1194 33.4262,-116.0848 33.4263,-116.0850 33.3827,-116.0851 33.3685,-116.0852 33.3392,-116.0843 33.3098,-116.0832 33.2806,-116.0822 33.2512,-116.0811 33.1908,-116.0808 33.1474,-116.0809 33.1182,-116.0811 33.0746,-116.1033 33.0747,-116.1030 33.0016,-116.1031 32.9307,-116.1024 32.9087,-116.1031 32.9037,-116.1037 32.8889,-116.1032 32.8788,-116.1057 32.8794,-116.1173 32.8820,-116.1311 32.8881,-116.1467 32.8942,-116.1529 32.8978,-116.1596 32.9018,-116.1754 32.9097,-116.1971 32.9212,-116.2205 32.9378,-116.2384 32.9483,-116.2738 32.9709,-116.2878 32.9774,-116.2992 32.9856,-116.3078 32.9937,-116.3153 33.0021,-116.3189 33.0102,-116.3189 33.0249,-116.3155 33.0344,-116.3129 33.0498,-116.3139 33.0503,-116.3216 33.0555,-116.3378 33.0632,-116.3586 33.0696,-116.3667 33.0699,-116.3836 33.0777,-116.3987 33.0870,-116.4047 33.0925,-116.4076 33.0993,-116.4065 33.1069,-116.4032 33.1111,-116.3911 33.1211,-116.3798 33.1358,-116.3790 33.1367,-116.3969 33.1606,-116.4015 33.1684,-116.4023 33.1717,-116.4050 33.1791,-116.4084 33.2005,-116.4128 33.2064,-116.4129 33.2256,-116.4124 33.2259,-116.4121 33.2264,-116.4000 33.2278,-116.4004 33.2418,-116.4209 33.2402,-116.4629 33.2415,-116.4761 33.2433,-116.4844 33.2464,-116.4902 33.2508,-116.5008 33.2525,-116.5015 33.3412,-116.5180 33.3413,-116.5243 33.3412,-116.5340 33.3413,-116.5668 33.3415,-116.5677 33.3492,-116.5808 33.3497,-116.5807 33.3531,-116.5736 33.3529,-116.5721 33.3528,-116.5719 33.3562,-116.5676 33.3561,-116.5674 33.3629,-116.5846 33.3632,-116.5938 33.3637,-116.6015 33.3631,-116.6113 33.3632,-116.6178 33.3633,-116.6180 33.3669,-116.6177 33.4068,-116.6177 33.4274,-116.5799 33.4272,-116.5077 33.4270,-116.4638 33.4273,-116.4285 33.4273,-116.4023 33.4275,-116.3849 33.4274,-116.3713 33.4273,-116.2985 33.4274,-116.2637 33.4281,-116.2535 33.4282,-116.1977 33.4289,-116.1299 33.4261)))",92004-Borrego Springs,borregosprings,2111,908,908,751,157,0,1203,1009,153,150,707,473,97,0,61,0,76,19.9,107,178,200,231,35,0,182,35,0,43,49,33,0,61,102,138,108,0,1225,86,160,132,191,167,170,224,35,17,43,39514,52922,635,43777,587,21229,406,23244,183,12562,17,,148,682,49451,56528,28434,2315,96.3,85,3.7,6.3,2111,43,43,35.6,7.4,0,57,17.3,66.9,13.7,0,8.6,0,10.7,14.2,23.7,26.6,30.8,4.7,0,24.2,4.7,0,5.7,6.5,4.4,0,8.1,13.6,18.4,14.4,0,7,13.1,10.8,15.6,13.6,13.9,18.3,2.9,1.4,3.5,51.8,47.9,33.1,14.9,1.4,12.1
Boulevard,91905,"MULTIPOLYGON (((-116.2316 32.7508,-116.2280 32.7469,-116.2227 32.7366,-116.2228 32.7263,-116.2220 32.7202,-116.2240 32.7082,-116.2259 32.7035,-116.2269 32.7000,-116.2303 32.6941,-116.2437 32.6807,-116.2511 32.6744,-116.2600 32.6681,-116.2600 32.6656,-116.2599 32.6646,-116.2600 32.6633,-116.2599 32.6607,-116.2595 32.6391,-116.2600 32.6062,-116.3511 32.5989,-116.3512 32.6044,-116.3511 32.6045,-116.3511 32.6108,-116.3510 32.6112,-116.3511 32.6116,-116.3512 32.6203,-116.3511 32.6457,-116.3509 32.6457,-116.3509 32.6467,-116.3510 32.6487,-116.3512 32.6494,-116.3511 32.6499,-116.3511 32.6535,-116.3502 32.6538,-116.3495 32.6544,-116.3493 32.6548,-116.3493 32.6558,-116.3492 32.6561,-116.3475 32.6576,-116.3461 32.6594,-116.3456 32.6607,-116.3451 32.6613,-116.3445 32.6618,-116.3437 32.6622,-116.3411 32.6629,-116.3412 32.6631,-116.3409 32.6639,-116.3413 32.6635,-116.3453 32.6626,-116.3490 32.6623,-116.3467 32.6674,-116.3468 32.6676,-116.3374 32.6807,-116.3367 32.6813,-116.3358 32.6816,-116.3348 32.6816,-116.3338 32.6814,-116.3348 32.6846,-116.3357 32.6863,-116.3368 32.6876,-116.3411 32.6916,-116.3446 32.6944,-116.3468 32.6959,-116.3483 32.6965,-116.3505 32.6969,-116.3517 32.6973,-116.3553 32.6992,-116.3563 32.6999,-116.3572 32.7007,-116.3567 32.7046,-116.3568 32.7049,-116.3575 32.7055,-116.3598 32.7147,-116.3653 32.7225,-116.3680 32.7269,-116.3786 32.7426,-116.3779 32.7488,-116.3778 32.7644,-116.3761 32.7683,-116.3690 32.7873,-116.3665 32.7947,-116.3597 32.8133,-116.3595 32.8148,-116.3596 32.8245,-116.3596 32.8438,-116.3430 32.8438,-116.3347 32.8439,-116.3293 32.8392,-116.3090 32.8252,-116.2316 32.7508)))",91905-Boulevard,boulevard,1406,149,135,121,14,14,1257,670,13,123,120,75,2,0,0,14,29,38.9,18,17,24,58,4,0,17,0,0,0,0,0,20,18,7,1,12,46,610,105,63,80,98,65,61,48,76,14,0,32819,44408,97,71556,407,16271,223,43532,1,,1,,87,416,,55525,19388,1416,89.8,144,10.2,25.2,1406,10.6,9.6,8.6,1,1,89.4,10.4,62.5,1.7,0,0,11.7,24.2,14.9,14,19.8,47.9,3.3,0,14,0,0,0,0,0,16.5,14.9,5.8,0.8,9.9,38,17.2,10.3,13.1,16.1,10.7,10,7.9,12.5,2.3,0,15.9,66.7,36.6,0.2,0.2,14.3
